title,url,year,issue
Computation of pseudo strain energy and Paris law fracture coefficients from surface energy and uniaxial strain-controlled tension test data,https://www.tandfonline.com/doi/full/10.1080/10298430500501944,2006,3
Severity effects of dual-tandem and dual-tridem repeated heavier aircraft gear loading on pavement rutting performance,https://www.tandfonline.com/doi/full/10.1080/10298430600704232,2006,3
Influence of accelerated aging test temperature on the properties of binders,https://www.tandfonline.com/doi/full/10.1080/10298430500533186,2006,3
"Performance grading of the Lamont, Alberta C-SHRP pavement trial binders",https://www.tandfonline.com/doi/full/10.1080/10298430600715667,2006,3
Investigation of the effectiveness and mechanisms of enzyme products for subgrade stabilization,https://www.tandfonline.com/doi/full/10.1080/10298430600574395,2006,3
Artificial neural networks—genetic algorithm based model for backcalculation of pavement layer moduli,https://www.tandfonline.com/doi/full/10.1080/10298430500495113,2006,3
Editorial,https://www.tandfonline.com/doi/full/10.1080/10298430600966195,2006,4
Concrete pavement analysis: the first eighty years,https://www.tandfonline.com/doi/full/10.1080/10298430600798481,2006,4
Theoretical and field evaluation of interaction between ultra-thin whitetopping and existing asphalt pavement,https://www.tandfonline.com/doi/full/10.1080/10298430600798895,2006,4
Nonlinear aggregate interlock model for concrete pavements,https://www.tandfonline.com/doi/full/10.1080/10298430600798911,2006,4
Quantifying built-in construction gradients and early-age slab deformation caused by environmental loads in a jointed plain concrete pavement,https://www.tandfonline.com/doi/full/10.1080/10298430600798929,2006,4
Effects of paving conditions on built-in curling and pavement performance,https://www.tandfonline.com/doi/full/10.1080/10298430600798952,2006,4
Analysis of rigid pavements under traffic loads using influence surfaces,https://www.tandfonline.com/doi/full/10.1080/10298430600798978,2006,4
ABAQUS model for PCC slab cracking,https://www.tandfonline.com/doi/full/10.1080/10298430600798994,2006,4
Finite element study of partial-depth cracks in restrained PCC slabs,https://www.tandfonline.com/doi/full/10.1080/10298430600800287,2006,4
Crack spacing and crack width investigation from experimental CRCP sections,https://www.tandfonline.com/doi/full/10.1080/10298430600799000,2006,4
Mechanism and modeling of transverse cracking development in continuously reinforced concrete pavement,https://www.tandfonline.com/doi/full/10.1080/10298430600799067,2006,4
Effects of mineral fillers on hot-mix asphalt laboratory-measured properties,https://www.tandfonline.com/doi/full/10.1080/10298430600819170,2007,1
Laboratory investigations on SMA mixes with different additives,https://www.tandfonline.com/doi/full/10.1080/10298430600987381,2007,1
Relating full-scale pavement rutting to laboratory permanent deformation testing,https://www.tandfonline.com/doi/full/10.1080/10298430600783509,2007,1
Computational and experimental evaluation of hydraulic conductivity anisotropy in hot-mix asphalt,https://www.tandfonline.com/doi/full/10.1080/10298430600819147,2007,1
Texture analysis of aggregates for wearing courses in asphalt pavements,https://www.tandfonline.com/doi/full/10.1080/10298430600898307,2007,1
Erosion susceptibility of granular pavement materials,https://www.tandfonline.com/doi/full/10.1080/10298430600758980,2007,1
Pitfalls of HDM-4 strategy analysis,https://www.tandfonline.com/doi/full/10.1080/10298430601012569,2007,1
List of IJPE's Reviewers 2006,https://www.tandfonline.com/doi/full/10.1080/10298430601129769,2007,1
Editorial,https://www.tandfonline.com/doi/full/10.1080/10298430601149445,2007,2
Foamed bitumen mixes&nbsp;=&nbsp;shear performance?,https://www.tandfonline.com/doi/full/10.1080/10298430601149718,2007,2
Effect of rheology on the bitumen foamability and mechanical properties of foam bitumen stabilised mixes,https://www.tandfonline.com/doi/full/10.1080/10298430601149650,2007,2
Characterization of foamed-bitumen stabilisation,https://www.tandfonline.com/doi/full/10.1080/10298430601149676,2007,2
<i,https://www.tandfonline.com/doi/full/10.1080/10298430601149551,2007,2
Temperature sensitivity of foamed asphalt mix stiffness: field and lab study,https://www.tandfonline.com/doi/full/10.1080/10298430601149486,2007,2
Ground penetrating radar as an engineering diagnostic tool for foamed asphalt treated pavement layers,https://www.tandfonline.com/doi/full/10.1080/10298430601149528,2007,2
Cost evaluation of foam bitumen and other stabilisation alternatives,https://www.tandfonline.com/doi/full/10.1080/10298430601149585,2007,2
Development of (half-) warm foamed bitumen mixes: state of the art,https://www.tandfonline.com/doi/full/10.1080/10298430601149635,2007,2
Influence of rest periods on fatigue characteristics of SBS polymer modified bituminous concrete mixtures,https://www.tandfonline.com/doi/full/10.1080/10298430601017501,2007,3
Rebound and residual <i,https://www.tandfonline.com/doi/full/10.1080/10298430601046682,2007,3
Effect of temperature variation on pavement responses using 3D multilayered elastic analysis,https://www.tandfonline.com/doi/full/10.1080/10298430601116741,2007,3
Characterization of aging effect on rheological properties of asphalt-filler systems,https://www.tandfonline.com/doi/full/10.1080/10298430601135477,2007,3
Homogeneous test specimens from gyratory compaction,https://www.tandfonline.com/doi/full/10.1080/10298430701289323,2007,3
A model for estimating road wear on in-service roads,https://www.tandfonline.com/doi/full/10.1080/10298430600677453,2007,3
A wavelet interpretation of vehicle-pavement interaction,https://www.tandfonline.com/doi/full/10.1080/10298430701309378,2007,3
Laboratory study of larger sized aggregate in Portland cement concrete,https://www.tandfonline.com/doi/full/10.1080/03081080701440370,2007,4
Durability of stabilized base courses subjected to wet–dry cycles,https://www.tandfonline.com/doi/full/10.1080/10298430701342874,2007,4
Nine-slab model for jointed concrete pavements,https://www.tandfonline.com/doi/full/10.1080/10298430500539555,2007,4
Characterization of NAPTF subgrade soils for mechanistic-based analysis and design of airport flexible pavements,https://www.tandfonline.com/doi/full/10.1080/10298430600704174,2007,4
Optimum statistical characterization of axle load spectra based on load-associated pavement damage,https://www.tandfonline.com/doi/full/10.1080/10298430600949902,2007,4
Deformation and tracking of bituminous sealants in summer temperatures: pseudo-field behaviour,https://www.tandfonline.com/doi/full/10.1080/10298430701374596,2008,1
Evaluation of HMA moisture damage in Wisconsin as it relates to pavement performance,https://www.tandfonline.com/doi/full/10.1080/10298430600965122,2008,1
Reliability considerations of bituminous pavement design by mechanistic–empirical approach,https://www.tandfonline.com/doi/full/10.1080/10298430600997240,2008,1
Staged survival models for overlay performance prediction,https://www.tandfonline.com/doi/full/10.1080/10298430601135469,2008,1
