journal,article_nr,n_chars,n_words
journal_6,5105,77919,10661
journal_6,5106,87742,12421
journal_6,5107,33879,4459
journal_6,5108,115824,16298
journal_6,5109,94805,13027
journal_6,511,31523,4633
journal_6,5110,9962,1250
journal_6,5111,47610,6901
journal_6,5112,67036,8960
journal_6,5113,56967,8266
journal_6,5114,86800,12318
journal_6,5115,9963,1250
journal_6,5116,64499,9435
journal_6,5117,71423,9869
journal_6,5118,87172,12096
journal_6,5119,88352,12288
journal_6,512,57539,8076
journal_6,5120,70002,9769
journal_6,5121,97979,13898
journal_6,5122,87289,12665
journal_6,5123,63013,9010
journal_6,5124,72643,10341
journal_6,5125,78962,11700
journal_6,5126,99668,14030
journal_6,5127,59621,8250
journal_6,5128,45342,5871
journal_6,5129,70922,9882
journal_6,513,37041,5389
journal_6,5130,116174,16657
journal_6,5131,96738,13471
journal_6,5132,74471,10178
journal_6,5133,86410,12243
journal_6,5134,9962,1250
journal_6,5135,79711,10965
journal_6,5136,88586,12788
journal_6,5137,94829,12726
journal_6,5138,79630,11207
journal_6,5139,56063,7950
journal_6,514,43644,6286
journal_6,5140,51770,7300
journal_6,5141,114521,16094
journal_6,5142,103097,13819
journal_6,5143,54627,7549
journal_6,5144,43863,6226
journal_6,5145,102390,14660
journal_6,5146,59369,8618
journal_6,5147,60154,8428
journal_6,5148,71433,10215
journal_6,5149,86542,12614
journal_6,515,74767,11066
journal_6,5150,58120,8462
journal_6,5151,116298,16477
journal_6,5152,74615,10992
journal_6,5153,106222,15175
journal_6,5154,58023,8053
journal_6,5155,76334,10597
journal_6,5156,126397,17115
journal_6,5157,62030,8792
journal_6,5158,76577,10865
journal_6,5159,87878,12071
journal_6,516,53982,7427
journal_6,5160,77224,11613
journal_6,5161,59737,7705
journal_6,5162,96859,13298
journal_6,5163,70181,9689
journal_6,5164,79328,11288
journal_6,5165,80554,10472
journal_6,5166,9927,1280
journal_6,5167,62582,8769
journal_6,5168,73065,10500
journal_6,5169,96818,13406
journal_6,517,85772,12475
journal_6,5170,47151,6975
journal_6,5171,96858,13996
journal_6,5172,115525,14257
journal_6,5173,69132,9832
journal_6,5174,83455,11754
journal_6,5175,74248,10905
journal_6,5176,82067,11657
journal_6,5177,90558,13250
journal_6,5178,62481,8838
journal_6,5179,9931,1280
journal_6,518,54538,7513
journal_6,5180,67982,9835
journal_6,5181,64676,9365
journal_6,5182,78776,11233
journal_6,5183,65371,9313
journal_6,5184,98720,13767
journal_6,5185,46036,6282
journal_6,5186,103729,14500
journal_6,5187,93286,12924
journal_6,5188,81572,11228
journal_6,5189,86154,12526
journal_6,519,65023,9655
journal_6,5190,63104,8849
